lineage	scope	seed	panel_id	scenario	approach	n_leaves	n_contaminants	n_predicted	n_true_positive	n_false_positive	precision	recall	f1	tree_rf_delta	collateral_genome_loss_count	runtime_seconds	status
chlam	genus	101	chlam_genus	replacement_only	recipient_consensus	0	4	0	0	0	0.0	0.0	0.0	0.0	0	0.0	ok
chlam	genus	101	chlam_genus	replacement_only	gcp	486	4	6	1	5	0.16666666666666666	0.25	0.2	0.0	0	0.2458028793334961	ok
chlam	genus	101	chlam_genus	replacement_only	cmtv	486	4	25	1	24	0.04	0.25	0.06896551724137932	0.0	0	0.23180484771728516	ok
chlam	genus	101	chlam_genus	replacement_only	plie	486	4	28	1	27	0.03571428571428571	0.25	0.0625	0.0	0	0.6101655960083008	ok
chlam	genus	101	chlam_genus	combined	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	-0.0212765957446808	0	0.0	ok
chlam	genus	101	chlam_genus	combined	gcp	486	4	5	1	4	0.2	0.25	0.22222222222222224	0.0	0	0.2307591438293457	ok
chlam	genus	101	chlam_genus	combined	cmtv	486	4	29	2	27	0.06896551724137931	0.5	0.1212121212121212	0.0	0	0.22316789627075195	ok
chlam	genus	101	chlam_genus	combined	plie	486	4	25	2	23	0.08	0.5	0.13793103448275865	0.0	0	0.38219475746154785	ok
chlam	genus	202	chlam_genus	replacement_only	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0	0	0.0	ok
chlam	genus	202	chlam_genus	replacement_only	gcp	486	4	7	1	6	0.14285714285714285	0.25	0.18181818181818182	0.0	0	0.2282729148864746	ok
chlam	genus	202	chlam_genus	replacement_only	cmtv	486	4	28	2	26	0.07142857142857142	0.5	0.125	0.0	0	0.22540974617004395	ok
chlam	genus	202	chlam_genus	replacement_only	plie	486	4	22	1	21	0.045454545454545456	0.25	0.07692307692307693	0.0	0	0.28795766830444336	ok
chlam	genus	202	chlam_genus	combined	recipient_consensus	0	4	1	1	0	1.0	0.25	0.4	0.0	0	0.0	ok
chlam	genus	202	chlam_genus	combined	gcp	486	4	8	2	6	0.25	0.5	0.3333333333333333	0.0	0	0.23101210594177246	ok
chlam	genus	202	chlam_genus	combined	cmtv	486	4	25	1	24	0.04	0.25	0.06896551724137932	0.0	0	0.22350382804870605	ok
chlam	genus	202	chlam_genus	combined	plie	486	4	26	2	24	0.07692307692307693	0.5	0.13333333333333336	0.0	0	0.26722073554992676	ok
chlam	genus	303	chlam_genus	replacement_only	recipient_consensus	0	4	0	0	0	0.0	0.0	0.0	0.0	0	0.0	ok
chlam	genus	303	chlam_genus	replacement_only	gcp	486	4	6	0	6	0.0	0.0	0.0	0.0	0	0.23145747184753418	ok
chlam	genus	303	chlam_genus	replacement_only	cmtv	486	4	23	1	22	0.043478260869565216	0.25	0.07407407407407408	0.0	0	0.22478652000427246	ok
chlam	genus	303	chlam_genus	replacement_only	plie	486	4	25	1	24	0.04	0.25	0.06896551724137932	0.0	0	0.3176875114440918	ok
chlam	genus	303	chlam_genus	combined	recipient_consensus	0	4	0	0	0	0.0	0.0	0.0	0.0425531914893617	0	0.0	ok
chlam	genus	303	chlam_genus	combined	gcp	486	4	3	0	3	0.0	0.0	0.0	0.0	0	0.23615097999572754	ok
chlam	genus	303	chlam_genus	combined	cmtv	486	4	27	2	25	0.07407407407407407	0.5	0.12903225806451613	0.0	0	0.22453832626342773	ok
chlam	genus	303	chlam_genus	combined	plie	486	4	28	1	27	0.03571428571428571	0.25	0.0625	0.0	0	0.27036166191101074	ok
chlam	family	101	chlam_family	replacement_only	recipient_consensus	0	4	4	4	0	1.0	1.0	1.0	0.0	0	0.0	ok
chlam	family	101	chlam_family	replacement_only	gcp	486	4	8	4	4	0.5	1.0	0.6666666666666666	0.0	0	0.22832989692687988	ok
chlam	family	101	chlam_family	replacement_only	cmtv	486	4	26	0	26	0.0	0.0	0.0	0.0	0	0.21671628952026367	ok
