scope	scenario	approach	n_panels	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	total_tp	total_fp	total_contaminants	baseline_recall_mean	recall_delta_vs_baseline
family	combined	cmtv	9	0.06247642484096204	0.02187030158427448	0.4722222222222222	0.23199018178458425	0.11008384849348493	0.04044757432315147	17	243	36	0.4722222222222222	0.0
family	combined	gcp	9	0.338668430335097	0.15644990501536743	0.6944444444444444	0.3004626062886658	0.4543789543789543	0.20517805114085846	25	51	36	0.4722222222222222	0.2222222222222222
family	combined	plie	9	0.1396153470791152	0.05282970802527715	0.8055555555555556	0.27322660517925007	0.23750498118314212	0.08729596683168678	29	183	36	0.4722222222222222	0.33333333333333337
family	replacement_only	cmtv	9	0.04488072838563034	0.03796543047466927	0.34259259259259256	0.2777777777777778	0.07925110183381329	0.06665991006221592	12	244	35	0.5833333333333334	-0.2407407407407408
family	replacement_only	gcp	9	0.4293650793650794	0.2026748566193373	0.7407407407407407	0.2515384760593727	0.5307007807007806	0.2092614081848469	26	41	35	0.5833333333333334	0.15740740740740733
family	replacement_only	plie	9	0.1362998405103668	0.057656591262226574	0.6851851851851851	0.32483376565351385	0.2250761656208933	0.0950360559046157	24	155	35	0.5833333333333334	0.10185185185185175
genus	combined	cmtv	9	0.04060550471948939	0.02695256530681709	0.3055555555555556	0.20833333333333334	0.07155513570048239	0.04752231955173987	11	255	36	0.19444444444444445	0.11111111111111113
genus	combined	gcp	9	0.19126984126984126	0.22072982428479887	0.3055555555555556	0.3703414340548162	0.2338945005611672	0.2753276290416943	11	41	36	0.19444444444444445	0.11111111111111113
genus	combined	plie	9	0.08625214094321647	0.0585540074487129	0.5	0.2795084971874737	0.14681748631856908	0.09667128728531736	18	202	36	0.19444444444444445	0.3055555555555556
genus	replacement_only	cmtv	9	0.030283765680185117	0.02628866968225664	0.2222222222222222	0.19543398999264291	0.053173989678325234	0.04615388801128392	8	247	36	0.19444444444444445	0.027777777777777762
genus	replacement_only	gcp	9	0.18386243386243384	0.17198787636642296	0.3333333333333333	0.33071891388307384	0.23636363636363633	0.22576774433068442	12	49	36	0.19444444444444445	0.13888888888888887
genus	replacement_only	plie	9	0.06416269349017886	0.05959498315773293	0.3611111111111111	0.30900827029565264	0.10875880371878341	0.0996941711143359	13	200	36	0.19444444444444445	0.16666666666666666
mixed_high_level	mixed_high_level	cmtv	9	0.05016589904222938	0.025084382916423294	0.2944444444444445	0.14240006242195885	0.08542398959065625	0.04206502026087407	13	250	44	0.4666666666666667	-0.17222222222222217
mixed_high_level	mixed_high_level	gcp	9	0.6383597883597883	0.14085121673500706	0.8333333333333334	0.18708286933869708	0.7137183803850471	0.13863578587139944	37	22	44	0.4666666666666667	0.3666666666666667
mixed_high_level	mixed_high_level	plie	9	0.20349765054985974	0.048454042868759276	0.8111111111111112	0.17638342073763938	0.3233650880709704	0.07233361906632792	36	144	44	0.4666666666666667	0.34444444444444455
order	combined	cmtv	9	0.043045765076416415	0.03543505276877963	0.3333333333333333	0.2795084971874737	0.07617541690122336	0.06277641844265121	12	254	36	0.5833333333333334	-0.25000000000000006
order	combined	gcp	9	0.4539241622574956	0.10031021666690416	0.8333333333333334	0.25	0.583048433048433	0.14586102865953207	30	35	36	0.5833333333333334	0.25
order	combined	plie	9	0.1769775313253574	0.09657440133520791	0.8611111111111112	0.2534484387624258	0.2884026364581921	0.13307558820156237	31	162	36	0.5833333333333334	0.2777777777777778
order	replacement_only	cmtv	9	0.04409524752662007	0.04624814716335323	0.3055555555555556	0.32542706982944397	0.07677553371950656	0.08041360793112502	11	238	35	0.5833333333333334	-0.2777777777777778
order	replacement_only	gcp	9	0.533068783068783	0.12928836950511832	0.8703703703703703	0.22863996712714343	0.6600288600288601	0.1635974208683177	31	26	35	0.5833333333333334	0.287037037037037
order	replacement_only	plie	9	0.16116959064327485	0.050230312364383516	0.898148148148148	0.2273709103297903	0.27287607722390333	0.08257229142129349	32	170	35	0.5833333333333334	0.31481481481481466
