genome_id	assembly_accession	organism_name	taxonomy_source	taxonomy_string	phylum	class	order_name	family	genus	species
BURK__GCA-000012365-1	GCA_000012365.1	Burkholderia thailandensis E264	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia thailandensis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia thailandensis
BURK__GCA-018243235-1	GCA_018243235.1	Ralstonia nicotianae	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia nicotianae	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia nicotianae
BURK__GCA-000018665-1	GCA_000018665.1	Delftia acidovorans SPH-1	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas acidovorans	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Comamonas	Comamonas acidovorans
BURK__GCA-028868935-1	GCA_028868935.1	Taylorella equigenitalis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Taylorella;s__Taylorella equigenitalis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Taylorella	Taylorella equigenitalis
BURK__GCA-016724805-1	GCA_016724805.1	Sutterella wadsworthensis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella	Sutterella wadsworthensis
BURK__GCA-000022305-1	GCA_000022305.1	[Acidovorax] ebreus TPSY	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Diaphorobacter;s__Diaphorobacter nitroreducens	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Diaphorobacter	Diaphorobacter nitroreducens
BURK__GCA-024584725-1	GCA_024584725.1	Alcaligenes faecalis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Alcaligenes;s__Alcaligenes phenolicus	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Alcaligenes	Alcaligenes phenolicus
BURK__GCA-000205025-1	GCA_000205025.1	Parasutterella excrementihominis YIT 11859	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	Parasutterella excrementihominis
BURK__GCA-022879815-1	GCA_022879815.1	Caballeronia zhejiangensis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__Caballeronia zhejiangensis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia	Caballeronia zhejiangensis
BURK__GCA-000176855-2	GCA_000176855.2	Paracidovorax avenae ATCC 19860	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paracidovorax;s__Paracidovorax avenae	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paracidovorax	Paracidovorax avenae
BURK__GCA-000196015-1	GCA_000196015.1	Cupriavidus metallidurans CH34	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus metallidurans	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus metallidurans
BURK__GCA-001465595-2	GCA_001465595.2	Pandoraea apista	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__Pandoraea apista	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	Pandoraea apista
BURK__GCA-004006215-1	GCA_004006215.1	Bordetella sp. J329	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Kerstersia;s__Kerstersia gyiorum	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Kerstersia	Kerstersia gyiorum
BURK__GCA-013376875-1	GCA_013376875.1	Acidovorax sp. JMULE5	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax facilis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	Acidovorax facilis
BURK__GCA-004367745-1	GCA_004367745.1	Herbaspirillum huttiense	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum huttiense	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herbaspirillum	Herbaspirillum huttiense
BURK__GCA-013372045-1	GCA_013372045.1	Janthinobacterium lividum	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__Janthinobacterium lividum	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Janthinobacterium	Janthinobacterium lividum
BURK__GCA-000961515-1	GCA_000961515.1	Paraburkholderia fungorum	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia fungorum	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia fungorum
BURK__GCA-000253115-1	GCA_000253115.1	Thiomonas arsenitoxydans	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Thiomonas;s__Thiomonas arsenitoxydans	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Thiomonas	Thiomonas arsenitoxydans
BURK__GCA-016728825-1	GCA_016728825.1	Achromobacter xylosoxidans	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter xylosoxidans	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter xylosoxidans
BURK__GCA-013282255-1	GCA_013282255.1	Achromobacter xylosoxidans	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter xylosoxidans	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter xylosoxidans
BURK__GCA-025426095-1	GCA_025426095.1	Achromobacter xylosoxidans	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter xylosoxidans	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter xylosoxidans
BURK__GCA-000508285-1	GCA_000508285.1	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter xylosoxidans	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter xylosoxidans
BURK__GCA-013282235-1	GCA_013282235.1	Achromobacter xylosoxidans	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter xylosoxidans	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter xylosoxidans
BURK__GCA-008432465-1	GCA_008432465.1	Achromobacter xylosoxidans	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter xylosoxidans	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Achromobacter	Achromobacter xylosoxidans
BURK__GCA-004008975-1	GCA_004008975.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-020735925-1	GCA_020735925.1	Bordetella parapertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001013565-1	GCA_001013565.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-030931755-1	GCA_030931755.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001307665-1	GCA_001307665.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001605465-1	GCA_001605465.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-002068975-1	GCA_002068975.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001985705-1	GCA_001985705.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
BURK__GCA-001986515-1	GCA_001986515.1	Bordetella pertussis	gtdb	p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Bordetella;s__Bordetella pertussis	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Bordetella	Bordetella pertussis
